X,Y
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.00435204,0.0
0.00870408,0.0
0.01326336,0.0
0.017615400000000003,0.0
0.02196744,0.0
0.026319480000000003,0.0
0.030671520000000004,0.0
0.03523080000000001,0.0
0.03958284000000001,0.0
0.04393488,0.0
0.048286920000000004,0.0
0.0528462,0.0
0.05719824,0.0
0.06155028,0.0
0.06590232,0.0
0.07025436,0.0
0.07481364,0.0
0.07916568000000002,0.0
0.08351772,0.0
0.08786976,0.0
0.0922218,0.0
0.09678108,0.0
0.10113311999999999,0.0
0.10548516000000001,0.0
0.1098372,0.0
0.11418924000000001,0.0
0.11874852000000001,0.0
0.12310056,0.0
0.1274526,0.0
0.13180464,0.0
0.13636392000000003,0.0
0.14071596,0.0
0.145068,0.0
0.14942004,0.0
0.15377208,0.0
0.15833136000000003,0.0
0.1626834,0.0
0.16703544,0.0
0.17138748,0.0
0.17573952,0.0
0.18029879999999998,0.0
0.18465084,0.0
0.18900288,0.0
0.19335492,0.0
0.19770696,0.0
0.20226623999999999,0.0
0.20661828000000002,0.0
0.207965332384953,3.922604616243597e-06
0.2094159464508351,1.7440318670588783e-05
0.21076283800937712,3.862154060831642e-05
0.21221319786079504,6.903464348109281e-05
0.21366335435176337,0.00010789398509678674
0.21500967027731674,0.00015260352810290322
0.21635570298499518,0.00020515316648705637
0.2178048834769468,0.00027103031332339957
0.21925365736582572,0.00034534635690730716
0.2205985665337294,0.0004214045236164978
0.22204637489747467,0.0005125902604262978
0.22339019918706798,0.0006058736637386844
0.22473345741013925,0.000706981827532642
0.22607610400540862,0.0008159113223727183
0.23030637864389047,0.0012075506173631297
0.23174909179474038,0.0013593487105431977
0.23308782434293554,0.0015088835861987485
0.23442566330616013,0.001666212614393329
0.23596824023014523,0.0018567332040530687
0.23730415592287607,0.0020296342640553893
0.2386390419953182,0.0022103126751467825
0.2400753346981043,0.0024140948349446662
0.24140779628122452,0.002611861475567277
0.2442741327871891,0.0030612040604510327
0.24560293581440193,0.003282219963735256
0.24693042912433247,0.0035109709784305262
